Quarter,Domain,Metric,Region,Provider Code,Provider Name,Numerator,Denominator,% Value,Rank,Rank_Region,Region_Size,Months Covered,Covered Months,Missing Months,Is Complete
Q4 (2024/25),A&E,4 hours,London,RP6,Moorfields Eye Hospital NHS Foundation Trust,16300,16574,0.983,1,1,18,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,RCU,Sheffield Children's NHS Foundation Trust,13847,15040,0.921,2,1,22,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North West,REP,Liverpool Women's NHS Foundation Trust,4264,4773,0.893,3,1,19,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,Midlands,RQ3,Birmingham Women's And Children's NHS Foundation Trust,18353.479,20735.479,0.885,4,1,21,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North West,RBS,Alder Hey Children's NHS Foundation Trust,28818.94558,32839.68894,0.878,5,2,19,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,RTF,Northumbria Healthcare NHS Foundation Trust,55062,63156,0.872,6,2,22,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,RVW,North Tees And Hartlepool NHS Foundation Trust,39615,47062,0.842,7,3,22,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South East,RWF,Maidstone And Tunbridge Wells NHS Trust,54599.81065,65341.19961,0.836,8,1,17,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South East,RTP,Surrey And Sussex Healthcare NHS Trust,51664.07834,62369.31439,0.828,9,2,17,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,RAE,Bradford Teaching Hospitals NHS Foundation Trust,31779,38569,0.824,10,4,22,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,Midlands,RL4,The Royal Wolverhampton NHS Trust,51640,63185,0.817,11,2,21,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South East,RPA,Medway NHS Foundation Trust,50772.45504,62228.98234,0.816,12,3,17,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South East,RVV,East Kent Hospitals University NHS Foundation Trust,85507.54496,105219.0177,0.813,13,4,17,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,London,RF4,"Barking, Havering And Redbridge University Hospitals NHS Trust",85877,106003,0.81,14,2,18,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,London,RJ7,St George's University Hospitals NHS Foundation Trust,30335,37454,0.81,14,2,18,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,East,RM1,Norfolk And Norwich University Hospitals NHS Foundation Trust,48278,59802,0.807,16,1,13,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,East,RWG,West Hertfordshire Teaching Hospitals NHS Trust,38659,47900,0.807,16,1,13,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,London,RYJ,Imperial College Healthcare NHS Trust,70763.32,88116.4,0.803,18,4,18,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,London,RQX,Homerton Healthcare NHS Foundation Trust,25866,32248,0.802,19,5,18,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,Midlands,RNQ,Kettering General Hospital NHS Foundation Trust,44125,55466,0.796,20,3,21,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South West,RBD,Dorset County Hospital NHS Foundation Trust,19396,24417,0.794,21,1,13,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North West,RBN,Mersey and West Lancashire Teaching Hospitals NHS Trust,71916.99312,90955.90469,0.791,22,3,19,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,Midlands,RNA,The Dudley Group NHS Foundation Trust,33333,42163,0.791,22,4,21,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North West,RXL,Blackpool Teaching Hospitals NHS Foundation Trust,45592,57880,0.788,24,4,19,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,RXP,County Durham And Darlington NHS Foundation Trust,56248,71564,0.786,25,5,22,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,London,RJZ,King's College Hospital NHS Foundation Trust,82016.88,104318.08,0.786,25,6,18,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,London,RRV,University College London Hospitals NHS Foundation Trust,38815.82,49487.4,0.784,27,7,18,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,Midlands,RFS,Chesterfield Royal Hospital NHS Foundation Trust,41609.92,53269.43,0.781,28,5,21,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South East,RHU,Portsmouth Hospitals University National Health Service Trust,57533,73627,0.781,28,5,17,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,Midlands,RXK,Sandwell And West Birmingham Hospitals NHS Trust,55621,71353,0.78,30,6,21,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South East,RXQ,Buckinghamshire Healthcare NHS Trust,35276,45282,0.779,31,6,17,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,London,RJ6,Croydon Health Services NHS Trust,43302.5,55969.5,0.774,32,8,18,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,London,RJ1,Guy's And St Thomas' NHS Foundation Trust,39427,50937,0.774,32,8,18,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South West,REF,Royal Cornwall Hospitals NHS Trust,40004,51696,0.774,32,2,13,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North West,RXR,East Lancashire Hospitals NHS Trust,52330,68074,0.769,35,5,19,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,East,RDE,East Suffolk And North Essex NHS Foundation Trust,63290,82460,0.768,36,3,13,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,RTD,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,45319,59168,0.766,37,6,22,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South East,RTK,Ashford And St Peter's Hospitals NHS Foundation Trust,34043,44481,0.765,38,7,17,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South East,RHW,Royal Berkshire NHS Foundation Trust,45631.364,59812.88,0.763,39,8,17,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,London,RQM,Chelsea And Westminster Hospital NHS Foundation Trust,59011,77446,0.762,40,10,18,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South East,RN7,Dartford And Gravesham NHS Trust,34479,45274,0.762,40,9,17,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South West,RTE,Gloucestershire Hospitals NHS Foundation Trust,47423,62274,0.762,40,3,13,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,RWY,Calderdale And Huddersfield NHS Foundation Trust,39526,51954,0.761,43,7,22,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,London,RAX,Kingston and Richmond NHS Foundation Trust,34523,45364,0.761,43,11,18,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,Midlands,RWE,University Hospitals Of Leicester NHS Trust,89243,117219,0.761,43,7,21,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,London,R1K,London North West University Healthcare NHS Trust,65832,86867,0.758,46,12,18,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,RTR,South Tees Hospitals NHS Foundation Trust,40471.5,53433.5,0.757,47,8,22,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,London,RKE,Whittington Health NHS Trust,26067.86,34437.2,0.757,47,13,18,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,RR8,Leeds Teaching Hospitals NHS Trust,66916,88540,0.756,49,9,22,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South East,RA2,Royal Surrey County Hospital NHS Foundation Trust,19822,26212,0.756,49,10,17,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,RCD,Harrogate And District NHS Foundation Trust,13571,18016,0.753,51,10,22,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,Midlands,RWD,United Lincolnshire Teaching Hospitals NHS Trust,62477,83032,0.752,52,8,21,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,East,RC9,Bedfordshire Hospitals NHS Foundation Trust,63854,85017,0.751,53,4,13,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South East,RHM,University Hospital Southampton NHS Foundation Trust,46259,62245,0.743,54,11,17,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North West,REM,Liverpool University Hospitals NHS Foundation Trust,66060.06131,89076.90637,0.742,55,6,19,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,London,RVR,Epsom And St Helier University Hospitals NHS Trust,28407,38334,0.741,56,14,18,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,Midlands,RTG,University Hospitals Of Derby And Burton NHS Foundation Trust,76619.08,103461.57,0.741,56,9,21,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,East,RWH,East And North Hertfordshire NHS Trust,40759,55158,0.739,58,5,13,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,London,RAL,Royal Free London NHS Foundation Trust,90455,122518,0.738,59,15,18,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,Midlands,RBK,Walsall Healthcare NHS Trust,29226,39603,0.738,59,10,21,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,East,RGR,West Suffolk NHS Foundation Trust,18179,24621,0.738,59,6,13,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North West,RTX,University Hospitals Of Morecambe Bay NHS Foundation Trust,28367,38495,0.737,62,7,19,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South West,RA7,University Hospitals Bristol and Weston NHS Foundation Trust,51263.9,69678.8,0.736,63,4,13,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North West,RBL,Wirral University Teaching Hospital NHS Foundation Trust,36127,49061,0.736,63,8,19,3,"Jan, Feb, Mar",,Yes
